title,lyrics
Try,"Try Lyrics[Verse 1]
I guess it felt a little bit better when we were still arguing about it
Cause in the words I could still hear love
Somebody still cared
And I would rather sleep on the sofa as long as you're still in our bed
At least I'm sure that you're at home and you ever left me yeah

[Hook]
You said you know my heart is good
But you'd hate me if you could
If I would allow you to you would
You could, you should but don't
[Chorus]
Try to leave me
Try to stay
Giving up
Is harder baby
Don't try don't try
Don't try to leave girl
Try to stay
Try, try

[Verse 2]
It's breaking my heart to see you there
Sickening I hate standing at that station
It's a picture that I don't wanna frame
Tears in your eyes
Luggage at your side

[Hook x2]
You said you know my heart is good
But you'd hate me if you could
If I would allow you to you would
You could, you should but don't
You said you know my heart is good
But you'd hate me if you could
If I would allow you to you would
You could, you should but don't
You might also like[Verse 3]
You ain't gotta work too hard
Tryna break my heart
But don't try, don't try, don't try
You ain't gotta work too hard
Trying to move on ohh oh
Try to stay
Try to think

[Chorus]
Don't try to leave me
Try to stay
Giving up
Is harder baby
Don't try don't try
Don't try to leave girl
Try to stay
Try
Try, try
Just try8Embed"
Only You,"Only You Lyrics[Verse 1]
Sitting by my window
Watching the moonlight
In my home
Suddenly my mind
Is bringing out desire
In my home
So I got a new man
To put out this fire
Burning in my soul
[Chorus]
Only you, baby
Can put out this fire
Only you, Steve
Can put out this fire
Burning in my soul
Only you, baby
Can put out this fire

[Verse 2]
So I had a phone call
From a new man
In my home
He was burning
Burning of desire
Just like I do
He wanted me to
Put out this fire
Burning in his soul

[Chorus]
Only you, baby
Can put out this fire
Only you, Steve
Can put out this fire
Burning in my soul
Only you, baby
Can put out this fire
Only you, baby
Can put out this fire
Burning in my soul
You might also like[Verse 3]
Suddenly my new man
Was in my arms
In my home
He was loving me
69 times
In my home
So I got a new man
To put out this fire
Burning in my soul

[Chorus]
Only you, baby
Can put out this fire
Only you, Steve
Can put out this fire
Burning in my soul
Only you, baby
Can put out this fire
Only you, baby4Embed"
J.O.B,"J.O.B Lyrics[Verse 1]
I catch z's at work now
So they're gonna fire me soon
But I've been dreamin' of our love
I wish my new day job was you

[Pre-Chorus]
But they say my checks come from the bank
And not your heart (not your heart)
And not your heart
They tell me think with my brain like I'm sane
And not my heart
And not my heart
[Chorus]
But if my job was only to love you, yeah
There wouldn't be no recession
Be no recession, ain't no depression, depression
If my job was only to love you, girl
There wouldn't be no stressin'
Be no stressin', ain't no pressure
'Cause it pays way better babe
It pays way better baby, yeah

[Verse 2]
My boss works my nerves, girl
If you knew him you'd wanna quit too
I just know he's jealous
Cause he's lonely and I've got you
(But what I'mma do)

[Pre-Chorus]
But they say my checks come from the bank
And not your heart (not your heart)
And not your heart
They tell me think with my brain like I'm sane
And not my heart
And not my heart

[Chorus]
But if my job was only to love you, yeah
There wouldn't be no recession
Be no recession, ain't no depression, depression
If my job was only to love you, girl
There wouldn't be no stressin'
Be no stressin', ain't no pressure
Cause it pays way better babe
It pays way better baby, yeah
You might also like[Outro]
If I left this place today with the love that we made
I'd be paid for the rest of my life, rest of my life
I love you the rest of my life, oh
Be paid for the rest of my life
Oh oh oh oh oh oh oh
Oh oh oh oh oh oh ohEmbed"
"Godspeed Screenplay (Episode 1, Scene 3)","Godspeed Screenplay (Episode 1, Scene 3) LyricsSteely and Matthew split up in a corridor and go into different classrooms that are stand-alone trailers.

In one class, a smooth but occasionally glitchy 3-D projection of a teacher greets Steely. The teacher is severe in appearance and manner. Though her projection corresponds to a live human being somewhere else on the planet, she might as well be a robot or at least the ghost of a human once capable of warm emotion.

     Teacher: 'Punctuality appears to be your Achilles' heel, Mr. Grude. Alas, you've cleared H3, admirable. Quiet your ears, then solve the riddle.'

The teacher trails away.

Steely exhales loudly. Takes his bag off and hangs it on a hook. There is a digital 24-hour clock in the top left corner, it's black steel with white numbers. The walls are covered in floral wallpaper, overhead there's a clear paneled mechanical ceiling. The mahogany floors ramp up to class seating, with curves and layers dynamically represented. A wall for projection wrapped in a semi circle lies at the head of the class.

Steely breathes in deeply, dropping his shoulders. The room is so quiet. He closes his eyes. A montage flashing in his head: Shoobie's mouth, himself as a small boy calling up from a pit, fencing, climbing a fence, running. A small quiet click comes into his ears from a clock. The memory of his father first forgetting while giving a lecture at his school. The silence. The stutter. The angry burst at someone touching his arm. He remembers his father not remembering him. His mother throwing things out of focus. The canopied street. The first car he stole on a spinning platter. His father's car.
Steely is mumbling a mantra and slowly his memories whitewash away. He opens his eyes and he is seated on a chair in full lotus. He breaks position and pulls a tray out of a side compartment and now he has a surface with a bowl in its center, a few gauges and a small loupe. It's what seems to be a mini solar system that he's manipulating with the gauges.

The teacher swarms back in and places a decades-old transparency paper on a projector.

The riddle:

     Teacher: 'You poured it hot and you're stirring it up, now what's moving faster, the tea or the cup?'
     Steely: 'The tea.'
     Teacher: What's harder Mr. Grude, a liquid or a solid?'
     Steely: 'Shit'
     Teacher: 'Of course. And what does your understanding of physics inform you of as it relates to softness and hardness of matter, Mr. Grude?'
     Steely: 'That, from a sub-atomic perspective, my shit is composed of particles mostly vibrating at a higher rate than my piss.'
     Teacher: 'Thank you, Mr. Grude. Your deft articulation leaves little to the imagination.'
     Steely: 'You don't have an imagination.'
     Teacher: 'Well, congratulations Mr. Grude. It has been my pleasure watering yours.'

The teacher swarms off. A status bar appears on the projection wall as if loading something. When full, a dozen other desks appear next to Steely each with a student projection seated in them, creating trails with their movements. These projections seem almost real. Unlike the microcosm whose projections are light based, the students' apparitions are hard particle nano projections whose touch have a light weight, thus they can interact with the physical world on a low level. The teacher re-materializes.

     Teacher: 'Grad students, the last movie of your lives here. ""Giant""—1956. Enjoy.'

Steely looks down at his desk. His microcosm is developing well, thriving. There are 64 life harboring planets in his system. He looks through his scope. He monitors his gauges, adjusting tension and gravity here and there.

Steely receives a tummy rub via instant messaging from Shoobie, and a pouty face. He replies with a blush face. The movie plays and a couple of the students are watching. The class is 50/50 male to female. A swirl of different races and creeds. Someone's nose starts bleeding. A Japanese student crinkles plastic in a Russian girl's ear to annoy her. Two students are reading palms. Steely extends his hand, taps a blue eyed Korean kid named Kio.

     Steely: 'Howdy'
     Kio: 'Listen. It's out of control. My parents are hiring a load of lifeguards for this weekend. Apparently someone drowned last year at the pool party I've never had. Been on my Kegel exercises since last week.
(Kio's projection spreads hair on Steely's scalp with his swarm fingers and examines it before Steely shakes him away)

     Kio: 'Your hair is so clean?'
     Steely: 'Kio—get off.' (Doesn't move. Focuses his sight through the scope down into the microcosm.)
     Kio: (Speaking out loud) 'Western hygiene has lacked as fuck—these guys look dank.'
     Blonde Girl: 'Close your mouth!'
     Kio: 'Only if you keep yours open.'
     Blonde Girl: You're small.'
     Kio: 'She didn't talk to me like this last night. I'm so confused. This sucks.'
     Blonde Girl: 'Do you know I can hear you? What was last night? I'm in Morocco.'
     Kio: 'Last night, last month—whenever this loud sex was. I forget.' (Kio turns his head and is punched in the nose by Blonde's swarm hand.)
     Blonde Girl: (Warns) 'You are a small feeling. Do not!'

The downpour outside intensifies.

     Steely: 'She didn't like that one, Kio.'
     Kio: 'Bro, whatever, she's a lunatic, and she just got herself un-invited.'
     Steely: (Laughs and shakes his head.)

Dree, the Pacific islander student, taps Steely.

     Steely: 'That's TWO cartridges.'
     Dree: (Says 'okay' without saying anything.)

It thunders soon after a grand flash of lightning. Rain comes down heavier and heavier, then a black out.
The 3-D swarms of students and teacher disappear and the room goes dark. The glow of Steely's experiment is the only light source in the room. His gaze stays stuck on the system, its glow upon his face. Just then a message notice activates.

GROUP TEXT:

     Matthew: 'Anybody seen Robb? I think we lost Robb black ass.'
     Robb: A piece of me with always be inside of you.'
     Shoobie: 'lol' (emoticon)

Steely gets up from his desk, pulls his hoody over hid head and goes to use the urinals outside in the storm.

It's pouring as he walks toward a small shallow tower of urinals—they resemble a merry-go-round. He pisses with the rain falling on him hard. No one is outside. He washes his hands on a faucet above the urinal then heads back toward his class. Sunlight cuts through the rain. He gets back to his seat, soaked, and sits down in the naturally lit room. He looks down at his bowl for a moment, lights a cigarette and stares at it for a moment. Spinning it around and staring at the ember trails. The sunlight creates streaks across the classroom through the ceiling. He pushes everything back into a single point then folds the desktop back into the compartment.

Steely's eyes well up.Embed"
The City,"The City Lyrics[Intro]
Give me my power
Give me my power
Give me my power
Give me my power
I built this city

[Verse 1]
I got plenty concrete, plenty steel
Please give me my trees, give 'em back
Give me tourists, give me traffic
Give me noise, just give it back
Could you bring back all my police, give me order
Turn back on my lights, give me fuel and water
I think I'm begging, cause now that everything's gone
I'm needing mine, I'm needing mine
With the streets all dark, it looks like my buildings are gone
[Hook]
I made you the mayor of my town honey
And I'm why you are the senate representative
I gave you the key to my city
Gave you, power over, power over me
Give it to me
Give it back to me
The city belongs to me
The city is ours no more

[Verse 2]
Tell the government, please give me funding
Can't you see that I'm doing bad?
Give me floodgates, give me levees
Too much water can you push it back
How you just gon' leave me out of order
I ain't got no lights and no fuel to start up
I know I'm begging, cause now that everything's dried up
I'm needing mine, I'm needing mine
And with the streets all dark, the buildings look lost

[Hook]
I made you the mayor of my town honey
I'm why you are the senate representative
I gave you the key to my city, all power over, power over me
Give it to me, give it back to me
The city belongs to me
The city is ours no more
You might also like[Bridge]
We used to be sky high
We used to be major
We used to be sky high
We used to be major, baby, major

[Outro]
Give it to me, give it back to me
The city mine, baby
This whole city is mine
The city is mine, honey
Give it to me, give it back to me
The city is mine, oh baby
The city is mine
The city is mine
Now give it to me
Give it back to me
The city belongs to me
The city is ours no more2Embed"
PDA [Demo],"PDA [Demo] Lyrics[Verse 1]
Intimate scenes, fresh from my dreams
Of a triple X movie scene
I could care less about being seen
A higher self-esteem with you and me
(Ain't that the way it's supposed to be?)
I say baby, do you think?
Sugar so sweet, should'a rot my teeth
Instead it just rottens me, yeah, spoiled crazy

[Pre-Chorus]
Public display of affection
(Got 'em hatin')
Pointin' in our direction
(Watch 'em, watch 'em)
Public display of affection
Makes them wish they had it this way
[Chorus]
We be at the club, the restaurant
The grocery store or the movie
Kissing and touching
With my hands all over your booty
Wherever it is, we is, I love it truly
Your PDA-A-A (I want your PDA)
Your PDA-A-A
Your PDA-A-A (I want your PDA)

[Verse 2]
Remember at the beach, we brought the sheets
And we were harassed by police?
Good thing we didn't go too deep
Everywhere we be, the passion in me just screams
I just need you in my reach
Baby your suspense can be intense
It's got me convinced, oh yeah
You're the fingers to my instrument

[Pre-Chorus]
Public display of affection
(Got 'em hatin')
Pointin' in our direction
(Watch 'em, watch 'em)
Public display of affection
Make them wish they had it this way
You might also like[Chorus]
We be at the club, the restaurant
The grocery store or the movie
Kissing and touching
With my hands all over your booty
Wherever it is, we is, I love it truly
Your PDA-A-A (I want your PDA)
Your PDA-A-A
Your PDA-A-A (I want your PDA)
Your PDA-A-A
Your PDA-A-A (I want your PDA)

[Bridge]
From the lobby to the patio
(Boy you so crazy)
And we so compatible
From the Starbucks to the Navajo
(Hmm, you nasty)
And we so compatible-patible

[Chorus]
We be at the club, the restaurant
The grocery store or the movie
Kissing and touching
With my hands all over your booty
Wherever it is, we is, I love it truly
Your PDA-A-A (I want your PDA)
Your PDA-A-A (I love it, I love it)
Your PDA-A-A (I want your PDA)
(I love it, I need it)
I want your PDA
Your PDA-A-A (I want your PDA)
(I, I, I want your PDA)
Your PDA-A-A (I want your PDA)
(I, I, I want your PDA)
Your PDA-A-A (I want your PDA)
(I want your PDA)
Your PDA-A-A (I want your PDA)
(I want your PDA)
Your PDA-A-A (I want your PDA)1Embed"
Truce,"Truce Lyrics[Verse 1]
Taking turns with pressing ignore
Only to come to the conclusion
That there’s no one we both love more
Back and forth, emotional tug of war
Girl I love you
But I just can’t do this revolving door any longer

[Pre-Chorus]
I’m motion sick
Oh, oh, from going in these circles
What happened, we were close
Where did we go wrong
Better yet, how do we make it right
This ain’t making sense no more
[Chorus]
Yeah, so I put my left hand on your waist
Right hand throwing the peace sign
Waving truce, waving truce, waving truce
I put my lips up on your face
White rag up in the sky
I’m waving truce, waving truce, waving truce, truce
I’m calling a truce, truce
Calling a truce, truce
Calling a truce, calling a truce
Oh, yeah

[Verse 2]
Maybe it’s the ""me"" in you that I dislike the most
Ironically, in the beginning that’s what made us close
And now that’s the very reason
That we’re slamming doors
But we’re both adults, it’s time we get over it

[Pre-Chorus]
I’m motion sick
Oh, oh, from going in these circles
What happened, we were close
Where did we go wrong
Better yet, how do we make it right
This ain’t making sense no more
You might also like[Chorus]
So I put my left hand on your waist
Right hand throwing the peace sign
Waving truce, waving truce, waving truce
I put my lips up on your face
White rag up in the sky
I’m waving truce, waving truce, waving truce, truce
I’m calling a truce, truce
Calling a truce, truce
Calling a truce, calling a truce
Oh, yeah

[Bridge]
If we stop this fighting
We can dance all night in this bitch
Be no fighting if you keep on rocking that shit
Won’t be no fighting, I’ma throw the towel in
Cause I decided, I like us way better like this

[Chorus]
So I put my left hand on your waist
Right hand throwing the peace sign
Waving truce, waving truce, waving truce
I put my lips up on your face
White rag up in the sky
I’m waving truce, waving truce, waving truce, truce
I’m calling a truce, truce
Calling a truce, truce
Calling a truce, calling a truce
Oh, yeah1Embed"
Done,"Done Lyrics[Verse 1]
Sitting next to your coffee table while
I'm tryna fix your cable box, again
Said you couldn't get channel four
And that's the only one you wanted to watch

[Pre-Hook]
Last week I was walking your dog, baby
Scrubbing your dishes
Took your clothes to the cleaners
I don't mind, cause
[Chorus]
When I'm done
When I'm done
I'm gon' get every little bit of your love
When I'm done (I'm gonna get it)
When I'm done (You gon' get it)
You gon' feel every little bit of my love

[Verse 2]
Spent all day in my kitchen slaying
You didn’t even know that I could cook, oh
But you say you’re tired and you're ready to go home
Girl, you didn’t even touch your food, no

[Pre-Hook]
Last week I was washing your towels
Scrubbing your dishes
Took your clothes to the cleaners
I don't mind, cause

[Chorus]
When I'm done
When I'm done
I'm gon' get every little bit of your love
When I'm done (I'm gonna get it)
When I'm done (You gon' get it)
You gon' feel every little bit of my love
When I'm done
When I'm done
I'm gon' get every little bit of your love
When I'm done (I'm gonna get it)
When I'm done (You gon' get it)
You gon' feel every little bit of my love
You might also like[Bridge]
Well, gimme some more, baby
Gimme some more
It's never enough, baby
You gotta let me know
You need somethin', tell me somethin', gather somethin' to hold
Baby, I'll do it
Huh, 'cause

[Chorus]
When I'm done (When I'm done)
When I'm done (When I'm done)
I'm gon' get every little bit of your love
When I'm done (I'm gon' get it)
When I'm done (Whoa, you gon' get it)
You gon' feel every little bit of my love
When I'm done
When I'm done
I'm gon' get every little bit of your love
When I'm done (I'm gonna get it)
When I'm done (You gon' get it)
You gon' feel every little bit of my love4Embed"
Boyfriend,"Boyfriend LyricsMy boyfriend drives a lil bucket
When it rain it fills up with rain
My boyfriend he gon pick me up
Don't distract him at the wheel
In his lane
He's the only one

My boyfriend he misses me when I'm gone
So he don't forget me
There's a song he sings
Calms his nerve, endings
My boyfriend is friendly
And we don't want no problems
I could say that I'm happy
They let me and my boyfriend become married
I could say that I'm happy
But cross my heart I didn't notice
Hope to die no never, we voted
Me and my boyfriend cast our ballot
Every kiss reads like a poem
Making wrongs right like a poem

I couldn't say I dream of you
Because my dreams are filled with no one
And all is lost
Me and my boyfriend we found
We don't hope for beyonds at all
Me and my boyfriend spend time
And that's all I'm holding on
This time

We got permission
Nothing's above condition
But this ain't a thang
It's a mission

Can't join the band so sing along
Me and my boyfriend got it going on
Sleep with fans and t shirts on
Asleep in vans your legs all strewn
Across my lap
Tan lines where your watch was strapped
You took off to make time
Cut your hair
You left it so long
I love to stare
There's nothing wrong
And if I die while I'm asleep
I pray to God my boyfriend
Keeps my secret
Peace8Embed"
Home.,Home. Lyricshome. i put my bag down. leave my shoes where they land. pull my shirt over my head. hang it on the ironing board. fall into this white nautica comforter my mom bought from marshall’s when she came in town to see me last. home is currently in beverly hills. a well executed renovation project not far from wilshire theatre. i like this place. rent’s two grand. expensive. refrigerator’s stainless. countertops are granite. living room floors are travertine. bedroom floors are hardwood. it’s a nice space. beige walls with nothing on them. but an ignorant television or two. a mural i did by hand when i was heartbroken and a completely arbitrary photo of odb in the bathroom above the toilet. my favorite piece. i got one closet and more articles of clothing than i need or wear. options are good. i’ve never been notably organized or tidy. so a large percentage of my wardrobe is usually strewn across my bed or that aforementioned ironing board. i keep my bathroom clean. kitchen too sort of. i eat out so much that the only issue i really have is perishables perishing in the icebox. oh and my fish died recently. i still haven’t emptied his tank. damn. a nice lady named mayra comes by a couple times a month and cleans up for me. it’s the best eighty dollars i spend everytime. i built out a project studio in my living room. the mess of wires is starting to become a nuisance though. i’ve probably recorded at home less times than i can count on my hands. i have made a couple beats though. beats which i’ve played for no one but frank. i’m reading three books at once. well not really. but you get it. which one i pick up at the end of my night sort of depends on my mood. i’m furthest along in the one about an african kid who moves to america after his family is killed and his country is destroyed by civil war. his story is hardly imaginable. i appreciate the relative calm in my life by the time i put it down. i used to be addicted to cnn. nowadays my tv is either off or being used as a monitor for my mac in the living room. except on sunday nights when entourage is in season. i read magazines a lot. they’re my favorite. i have no subscriptions. last time i counted i had near a thousand bucks worth of magazines stacked next to my sofa. newsstands must love me. i’m impulsive as fuck. damn. that’s bad. i’m gonna try and subscribe online somewhere or something. i’ve got a lot of music here too. lately i’ve been going to amoeba and buying oldies but goodies that i’d never heard before. i must admit those have been my most wise purchases this summer. smarter than my car note for sure. sade’s love deluxe might indirectly buy me a g550 one day. a house to park it in front of too probably. no bullshit. i’ll sleep now. maybe i won’t wake up till morning. maybe i’ll wake up shortly. either way i’ll pray. and i’ll dream.20Embed
Rolls Royce Bitch Freestyle,"Rolls Royce Bitch Freestyle Lyrics[Intro: 2 Chainz]
Alright, yeah, yeah, yeah
Yeah believe in yourself, who else gon' believe in you
Who else gon' believe in you? Who else gon' believe in you?
Believe in yourself, who else gon' believe in you?
Who else gon' believe in you, who else gon' believe in you?

[Verse 1: Frank Ocean]
Who else?
I knew all this back on the Shaw
When I had no bedrooms at all
Now it's tears in a wraith feeling soft
Now I'm based like I'm lost at a rave
Really miss my landaulet
Look at the stars, it's a plane
This plane right here cost me bank
That Bentley truck ugly, I'm straight
It's straight, but that's just not my style
That's just not my style
When Sage pushed it mongo
Way before the Uber
Was stranded as fuck at the house
We just landed we scuffing the ground
We been knew the earth was around
These goofies ain't looking for Mickey
They looking for mini me, copy my style
Copies is selling and I don't know why
Mostly I cockblock myself on the pop
400k I could spend it on lots
Can't pay for play Christmas day no Xbox
Last Christmas Day was in LA with Flack
Pourin' this red, sky gettin' blue
We couldn't tell if it's IMAX or not
Butterfly hinges on a cocoon
[Chorus: 2 Chainz]
Rolls Royce, bitch, yeah the doors go dat way
The doors go dat way, the doors go dat way
Rolls Royce, bitch, yeah the doors go dat way
The doors go dat way, the doors go dat way
Rolls Royce, bitch, yeah my doors go dat way
My doors go dat way, doors go dat way
Rolls Royce, bitch, yeah my doors go dat way
My doors, Wraith, my doors, uhYou might also like2Embed"
Together,"Together Lyrics[Verse 1]
Oh, we’re in this together
Have a little faith
Oh, you ought to know who you are
Oh, we’re all children
We’re all human, we’re all breathing
We’re all needing, more than what they're giving
Can’t you feel it?
The space of what’s missing

[Pre-Chorus]
You look up and they tell you it’s a godless sky, a godless sky
So you look down
Cause you’ve convinced yourself
That this is all you’ve got, all you’ve got
[Chorus]
But picture four billion hearts beating with yours, with ours
Picture four billion faces held high for love
If there’s one thing about this world I know
It’s that we’re in it, together
You’re not alone, I’m not alone
If there’s one thing about this world I know
We’re together, we’re together

[Verse 2]
I love you
And I don’t know you
But I know the light in you
Is the same as in me
I trust you, like a brother
Cause who could understand the pain
Better than someone who’s going through it

[Pre-Chorus]
You look up and they tell you it’s a godless sky, a godless sky
But don’t you look down
Don’t you convince yourself
That this is all you’ve got, all you’ve got

[Chorus]
Just picture four billion hearts beating with you, with ours
Picture four billion faces held high for love
If there’s one thing about this world I know
It’s that we’re in it, together
You’re not alone, I’m not alone
If there’s one thing about this world I know
We’re together
You might also like[Bridge]
I’ve searched the souls of my people
For something to believe in
Oh, not words that I could say
But I heard them, I heard them

[Chorus]
Just picture four billion hearts beating with you, with ours
Picture four billion faces held high for love
If there’s one thing about this world I know
It’s that we’re in it, together
You’re not alone, I’m not alone
If there’s one thing about this world I know
We’re together1Embed"
Greedy Love,"Greedy Love Lyrics[Verse 1]
I hated every time we go out
Got everybody complementing you
You love attention from a big crowd
Feels like I'm on the sideline
Right next to sucker, and I am the buster, girl
Who's this other guy, that's sending you these flowers
Oh, now you tell me, that your ex is your best friend

[Hook]
Call me crazy
But all I want is you
To myself
To share with no one
You can call it jealous
But I just call it my greedy love
Greedy love
Greedy love
My, my greedy love
[Verse 2]
The smile on your face when you got that text late at night wasn't cause of me
Who else could it be?
And why when your with your friends it's always movie night or girl's night
It feels like I'm riding the bench
Right next to sucker, and I am the buster, girl
On the dance floor you're showing off your best moves
You've see my blown fuse, 'cause everybody's on you

[Hook]
Call me crazy
But all I want is you to myself
To share with no one
You can call it jealous but I call it my greedy love
Greedy love
Greedy love
My, my greedy love
Greedy love
Greedy love
My, my greedy love

[Bridge]
The only thing I wish is all that's in your heart
Though it seems like I'm nagging, oh
Is wanting only me too much to ask?
You might also like[Hook]
When all I want is you to myself
To share with no one
You can call it jealous but I call it my greedy love
Greedy love
Greedy love
My, my greedy love
Greedy love
Greedy love
My, my greedy love2Embed"
Tumblr Letter About Orlando Shooting,"Tumblr Letter About Orlando Shooting LyricsI read in the paper that my brothers are being thrown from rooftops blindfolded with their hands tied behind their backs for violating sharia law. I heard the crowds stone these fallen men if they move after they hit the ground. I heard it’s in the name of God. I heard my pastor speak for God too, quoting scripture from his book. Words like abomination popped off my skin like hot grease as he went on to describe a lake of fire that God wanted me in. I heard on the news that the aftermath of a hate crime left piles of bodies on a dance floor this month. I heard the gunman feigned dead among all the people he killed. I heard the news say he was one of us. I was six years old when I heard my dad call our transgender waitress a faggot as he dragged me out a neighborhood diner saying we wouldn’t be served because she was dirty. That was the last afternoon I saw my father and the first time I heard that word, I think, although it wouldn’t shock me if it wasn’t. Many hate us and wish we didn’t exist. Many are annoyed by our wanting to be married like everyone else or use the correct restroom like everyone else. Many don’t see anything wrong with passing down the same old values that send thousands of kids into suicidal depression each year. So we say pride and we express love for who and what we are. Because who else will in earnest? I daydream on the idea that maybe all this barbarism and all these transgressions against ourselves is an equal and opposite reaction to something better happening in this world, some great swelling wave of openness and wakefulness out here. Reality by comparison looks grey, as in neither black nor white but also bleak. We are all God’s children, I heard. I left my siblings out of it and spoke with my maker directly and I think he sounds a lot like myself. If I being myself were more awesome at being detached from my own story in a way I being myself never could be. I wanna know what others hear, I’m scared to know but I wanna know what everyone hears when they talk to God. Do the insane hear the voice distorted? Do the indoctrinated hear another voice entirely?3Embed"
Close To You / Never Can Say Medley,"Close To You / Never Can Say Medley Lyrics[Part I: Close To You]

I’ll be honest
I wasn’t devastated
But you could’ve
Held my hands through it baby
Let my mind
Run underneath warms jets, jet-jets

I run my hands through what’s left
But we’re getting older baby
Don’t have much longer baby
Why am I preaching
To this choir, to this atheist?
But just like mine
Versions of these belong to you
And after a while
They're keeping me close to you

[Part II:  Never Can Say]

And that is why
I never can say goodbye, oh no no I
Never can say goodbye

Even though the pain and heartache seems to
Follow me wherever I go
Try to hide the feelings but they
Always seem to show
You say ""Turn around you fool
You know I love you more and more""
Tell me why is it so
I don't wanna let you go

I never can say goodbye, no no no no no I
Never can say goodbye, ooh yeah yes
I never can say goodbye, no no no
I never can say goodbye, no
No no no no no
Never can, never, never can say, nev-nev-never can say
Never can say goodbye
NoYou might also like6Embed"
Heartbreak + Jetlag,"Heartbreak + Jetlag Lyrics[Intro]
Blue, heyeye, heyeyeye
Blue, heyeyeye, heyeyeyeyeye
Blue, oh oh oh, heyeye, heyeyeye

[Verse 1]
Never seen a cloud
Up close baby
Never left the ground
Before baby
Never fucked a hundred miles up
Never been in love
[Bridge]
But if I'd never met yo ass
I would never known how it feels to crash

[Hook]
We didn't land smooth, damn
It's heartbreak plus the jetlag
Ohh ohh oh
Heartbreak plus jetlag
Ohh ohh oh
Heartbreak plus jetlag
Ohh ohh oh ahh

Ohh ohh oh ahh
Ohh ahh ha ohh
Ohh ohh oh ahh ahh

[Verse 2]
Just stay alone
This heart lonely
Waiting at the terminal, waiting oh oh oh
I watched everybody else get on
But deep down I'm scared to fly back home
Cause last time it went up and went down, down, down
In flames
You might also like[Bridge]
But if I'd never met yo ass
I would never known how it feels to crash

[Hook]
We didn't land smooth, damn
It's heartbreak plus the jetlag
Ohh ohh oh
Heartbreak plus jetlag
Ohh ohh oh
Heartbreak plus jetlag
Ohh1Embed"
Let Me,"Let Me Lyrics[Verse 1: Frank Ocean]
I don't know if I ever told you this before, before
But you're the only one I ever waited for this long
And now the room is crowded, right now
So tell me are you about it, right now?

[Hook: Frank Ocean]
I've been thinking of you all the time
There's been various issues, but would you let me, let me tonight?

[Verse 2: Kyle Christopher]
Got all them couples floating on your pink champagne
You know there's bottle service, bottle service, babe
Long as the DJ's playing all these raunchy songs
Girl, we can do this on the dancefloor all night long
Now I know the room is crowded, right now
But tell me are you about it right now?
[Hook: Frank Ocean]
I've been thinking of you all the time
There's various issues, but would you let me, let me tonight?
See, I've been dreaming of you in the daytime
And it ain't right, so would you let me, let me tonight?

Now listen, don't you get this twisted girl
If I leave you, without you, I miss you girl
And if I had you right now, I wouldn't change a thing
You tell me this ain't what you're used to
But baby can't no man judge you
I can tell ain't no man loving you
I can tell ain't no man loving youYou might also like2Embed"
Taste,"Taste Lyrics[Intro]
Damn, you hungry
I mean, its cool, want some more?

[Verse 1]
I built us a little gingerbread house
You said you loved it, I baked you a little
Gingerbread Benz, and you said you dug it
I make stacks and stacks of cake in the bank, bank
You ate through 'em, you ate through 'em
You ate through 'em, yeah, yeah
[Pre-Chorus]
Tell me how does that taste
Tell me how does that taste, oh
Must have been good, got you coming back
When I'm running out, you keep your bags packed
All the newest shit, and the Benz I baked you
Tell me something baby

[Chorus:]
Baby, I can't blame you
When we first met, I know you told me that your taste was crazy
But sweety, you tell me now that your craving
Said that Gucci taste good, but Dior taste amazing, baby

[Verse 2]
We took chartered flights
All around to taste those malls that
You like most, said the jefe food taste like pink raspberry
Good credit, A1, just like that sauce
Said you liked Ruth's Chris way better
Lean back my seat, watch your head go down

[Pre-Chorus]
Tell me how does that taste
Tell me how does that taste, oh
Must have been good, got you coming back
When I'm running out, you keep your bags packed
All the newest shit, and the Benz I baked you
Tell me something baby
You might also like[Chorus:]
Baby, I can't blame you
When we first met, I know you told me that your taste was crazy
But sweety, you tell me now that your craving
Said that Gucci taste good, but Dior taste amazing, baby

[Bridge:]
I know that your going to
Love me as long as you're fed, you said it
But I like you around
Just want to keep you here
I got enough, girl, I ain't running out
I ain't running out

[Chorus:]
Baby, I can't blame you
When we first met, I know you told me that your taste was crazy
But sweetie, you tell me now that your craving
Said that Gucci taste good, but Dior taste amazing, baby
Said that Gucci taste good, but Dior taste amazing

[Outro]
Hey baby I- noticed you eat your jewellery for break-
Hey baby I- notice you eat your jewellery for break-
Hey baby I- notice you eat your jewellery for breakfast
I swear, its crazy1Embed"
